timestamp,open,high,low,close,coin,market_cap_usd,total_volume_usd,market_cap_rank,sentiment_votes_up_pct,price_change_pct_7d,price_change_pct_30d,ath_change_pct,circulating_supply,total_supply,fear_greed_index,collected_at
2025-07-27,3745.23,3773.65,3530.3,3742.43,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-07-31,3739.71,3936.94,3708.13,3807.42,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-04,3807.38,3874.37,3373.55,3497.57,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-08,3497.79,3917.17,3495.1,3911.26,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-12,3907.6,4347.28,3884.64,4228.82,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-16,4226.51,4779.0,4226.51,4430.53,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-20,4437.62,4563.72,4074.5,4074.5,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-24,4080.65,4877.09,4074.75,4773.88,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-08-28,4782.43,4946.05,4341.54,4500.15,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-09-01,4503.25,4625.35,4279.96,4388.93,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
2025-09-05,4385.61,4486.12,4238.45,4298.09,ethereum,246645942430.0,6790041391.0,2.0,76.92,2.05349,-1.51983,-58.67751,120691237.9809391,120691237.9809391,12,2026-04-05T10:05:48.351892
